날짜,1층,2층,지하
2026-05-01,0,0,0
2026-05-02,0.6,0,1.2
2026-05-03,0.2,0,1.1
2026-05-04,0,0,0
2026-05-05,0.3,0,0.9
2026-05-06,0.4,0.1,2.5
2026-05-07,0.8,0.2,1.1
2026-05-08,1.4,0.2,1.3
2026-05-09,1.6,0.1,2.3
2026-05-10,1.4,0.3,1.3
2026-05-11,0,0,0
2026-05-12,1.3,0.1,1.6
2026-05-13,1.1,0.1,2.5
2026-05-14,0.2,0.2,1.8
2026-05-15,0.6,0.1,1.8
2026-05-16,0.5,0,1.2
2026-05-17,0.6,0,1.2
2026-05-18,0.1,0,0.6
2026-05-19,1.1,0.1,1.5
2026-05-20,2.6,0,1.6
2026-05-21,2.2,0.2,1.3
2026-05-22,1.6,0.1,2.4
2026-05-23,1.2,0,1.3
2026-05-24,0.6,0.1,1.3
2026-05-25,0,0,0
2026-05-26,0.2,0.1,2.5
2026-05-27,0.4,0,1.5
2026-05-28,0.3,0.2,1.6
2026-05-29,0.9,0.1,1.7
2026-05-30,0.8,2.4,1.3
2026-05-31,1.9,1.4,1.8
