날짜,사무실,휴게공간,VIP실
2026-05-01,1.8,0.1,0
2026-05-02,0.5,0.1,0
2026-05-03,0.3,1.4,0
2026-05-04,0,0.4,0
2026-05-05,0,0,0
2026-05-06,0.5,2.5,4.7
2026-05-07,0.5,0.3,19.5
2026-05-08,0.5,0.4,19.9
2026-05-09,0.2,0,20.5
2026-05-10,0.3,0.2,20.9
2026-05-11,0,0.6,21.1
2026-05-12,0,0.2,14
2026-05-13,0.7,1,16.2
2026-05-14,0.5,1,15.6
2026-05-15,0.7,2.1,21.7
2026-05-16,0.5,1.5,23.2
2026-05-17,0.7,0.4,23.6
2026-05-18,1.9,0.6,23.6
2026-05-19,2.2,0.5,23.4
2026-05-20,2.3,1.3,23.2
2026-05-21,1.2,1.6,12.4
2026-05-22,2.2,1.7,0
2026-05-23,1.2,0.4,0
2026-05-24,2.3,0.7,0
2026-05-25,1.2,0.2,0
2026-05-26,1.8,2.6,0
2026-05-27,2.3,3.6,0.2
2026-05-28,3.2,3.7,2.7
2026-05-29,1.4,3.4,0.2
2026-05-30,0.8,1.2,0.1
2026-05-31,2.6,0.8,0.1
